"variable","importance","model","species"
"wc2.1_2.5m_bio_5",22.3174512589157,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_6",31.7941724342967,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_7",23.5086806804408,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_8",33.5099791714057,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_9",25.2952873111258,"Random Forest","Steller's Jay"
"land_cover",61.2779686302996,"Random Forest","Steller's Jay"
"land_cover",0.353762479543243,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_10",0.110629302212947,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_5",0.0629517410894144,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_15",0.049492883467717,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_12",0.0459706418438764,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_3",0.0376534857288489,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_13",0.0346450913758585,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_2",0.0337687441577508,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_1",0.0306079186163143,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_9",0.0301973514388308,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_18",0.0264817922600212,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_4",0.0255702971491552,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_19",0.025001947848137,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_7",0.0235394577083022,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_6",0.0232891429543633,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_8",0.0212878497108601,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_16",0.0210979972075828,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_17",0.0177427060019445,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_14",0.0153330537224516,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_11",0.0109761159623815,"XGBoost","Steller's Jay"
"wc2.1_2.5m_bio_1",25.1058160797539,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_10",28.5049189029876,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_11",24.727027319723,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_12",29.8090640150475,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_13",20.2357142417593,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_14",23.7367088692664,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_15",33.117808063958,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_16",21.8204438992969,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_17",26.366258465797,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_18",28.0666158315677,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_19",22.4912749232114,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_2",33.4866496618823,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_3",34.1172330362525,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_4",27.7554205212974,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_5",30.3416888331412,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_6",30.9538484183194,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_7",29.6954118879073,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_8",29.4096094955696,"Random Forest","Red-tailed Hawk"
"wc2.1_2.5m_bio_9",27.4566357427579,"Random Forest","Red-tailed Hawk"
"land_cover",47.8088521559264,"Random Forest","Red-tailed Hawk"
"land_cover",0.175788995157632,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_12",0.0977792307048941,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_2",0.0822794495138864,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_6",0.0641907679762332,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_17",0.0602769033229373,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_7",0.0600936946523322,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_3",0.0483660261497412,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_11",0.0476072785288504,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_4",0.0470172946637503,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_15",0.0414583599981949,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_5",0.0404408386212069,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_18",0.0385715507652471,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_13",0.0302092377377995,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_8",0.0286304604943442,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_1",0.0284958530682445,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_10",0.0265049921740478,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_9",0.0257523541727286,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_19",0.0230981580161298,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_14",0.017183309040786,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_16",0.0162552452410137,"XGBoost","Red-tailed Hawk"
"wc2.1_2.5m_bio_1",23.2308606833254,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_10",19.1476315200293,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_11",22.8784479028281,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_12",17.3760572740921,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_13",15.9156231760678,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_14",14.3149316252983,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_15",23.587852627465,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_16",15.0172943602187,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_17",18.7614984447556,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_18",17.8134928955005,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_19",16.1738269368426,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_2",24.162745605915,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_3",22.5788989325423,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_4",21.4130157113493,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_5",19.7816201980928,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_6",22.5714225640661,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_7",21.5355589080429,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_8",20.3791179607314,"Random Forest","Spotted Towhee"
"wc2.1_2.5m_bio_9",26.3517389242838,"Random Forest","Spotted Towhee"
"land_cover",36.4637868428071,"Random Forest","Spotted Towhee"
"land_cover",0.165033687997436,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_9",0.0876955152083158,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_12",0.0853538254394317,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_17",0.0683577758621701,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_5",0.0531674735106767,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_15",0.0494606751405846,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_6",0.0426055179402935,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_4",0.0412657620015158,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_16",0.0405870863852495,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_7",0.0393302326170481,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_11",0.0387838810157219,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_10",0.0383059524186824,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_2",0.0381630185075079,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_19",0.0355001604954704,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_3",0.0354287092303538,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_1",0.0345993517485201,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_8",0.0324234694588826,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_18",0.0320118393764075,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_13",0.0257774725081655,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_14",0.0161485931375659,"XGBoost","Spotted Towhee"
"wc2.1_2.5m_bio_1",25.6662393418698,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_10",25.9539878560584,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_11",23.9022556737047,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_12",45.9007970891803,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_13",22.416404356964,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_14",21.9996843623391,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_15",33.1238260878566,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_16",17.4870382236041,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_17",22.6328122876105,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_18",32.7595751424878,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_19",20.1659459028601,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_2",34.0984121001483,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_3",30.8066342462827,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_4",33.2031276316289,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_5",30.0385742161113,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_6",34.5633125254531,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_7",20.7994796039576,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_8",28.7577842112014,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_9",26.7443271833853,"Random Forest","Western Meadowlark"
"land_cover",97.0477453227078,"Random Forest","Western Meadowlark"
"wc2.1_2.5m_bio_12",0.22732638125984,"XGBoost","Western Meadowlark"
"land_cover",0.199061094466033,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_2",0.0737921562547412,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_4",0.0551408933353499,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_13",0.0522647530538686,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_5",0.0408206621936664,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_18",0.0403396542419385,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_3",0.0363400654686168,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_10",0.0352189570750102,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_15",0.0325164057363747,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_7",0.0322681425873898,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_6",0.0291503586718138,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_14",0.0246949540919547,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_9",0.0227229635672632,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_8",0.0225234606956806,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_11",0.0218526141741668,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_1",0.0216486039542817,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_17",0.0134630030136837,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_16",0.0100023016347685,"XGBoost","Western Meadowlark"
"wc2.1_2.5m_bio_19",0.00885257452355757,"XGBoost","Western Meadowlark"
