"variable","importance","model","species"
"bio14_precip_driest_month",0.0261939837954271,"XGBoost","American Robin"
"bio16_precip_wettest_quarter",0.0259066370072724,"XGBoost","American Robin"
"bio7_temp_annual_range",0.0256698844849343,"XGBoost","American Robin"
"bio13_precip_wettest_month",0.0160455281827626,"XGBoost","American Robin"
"bio19_precip_coldest_quarter",0.0117616440799374,"XGBoost","American Robin"
"bio1_annual_mean_temp",32.9509126660952,"Random Forest","Steller's Jay"
"bio10_mean_temp_warmest_quarter",35.1365793740336,"Random Forest","Steller's Jay"
"bio11_mean_temp_coldest_quarter",26.4796221105379,"Random Forest","Steller's Jay"
"bio12_annual_precip",24.0279396462888,"Random Forest","Steller's Jay"
"bio13_precip_wettest_month",21.2726354974443,"Random Forest","Steller's Jay"
"bio14_precip_driest_month",21.9051371787478,"Random Forest","Steller's Jay"
"bio15_precip_seasonality",40.0847980003585,"Random Forest","Steller's Jay"
"bio16_precip_wettest_quarter",19.3838950901238,"Random Forest","Steller's Jay"
"bio17_precip_driest_quarter",26.4639129610571,"Random Forest","Steller's Jay"
"bio18_precip_warmest_quarter",30.5338100575023,"Random Forest","Steller's Jay"
"bio19_precip_coldest_quarter",21.1087962740953,"Random Forest","Steller's Jay"
"bio2_mean_diurnal_range",33.9093728269409,"Random Forest","Steller's Jay"
"bio3_isothermality",41.3693323890342,"Random Forest","Steller's Jay"
"bio4_temp_seasonality",24.4537466145316,"Random Forest","Steller's Jay"
"bio5_max_temp_warmest_month",22.3174512589157,"Random Forest","Steller's Jay"
"bio6_min_temp_coldest_month",31.7941724342967,"Random Forest","Steller's Jay"
"bio7_temp_annual_range",23.5086806804408,"Random Forest","Steller's Jay"
"bio8_mean_temp_wettest_quarter",33.5099791714057,"Random Forest","Steller's Jay"
"bio9_mean_temp_driest_quarter",25.2952873111258,"Random Forest","Steller's Jay"
"land_cover",61.2779686302996,"Random Forest","Steller's Jay"
"land_cover",0.353762479543243,"XGBoost","Steller's Jay"
"bio10_mean_temp_warmest_quarter",0.110629302212947,"XGBoost","Steller's Jay"
"bio5_max_temp_warmest_month",0.0629517410894144,"XGBoost","Steller's Jay"
"bio15_precip_seasonality",0.049492883467717,"XGBoost","Steller's Jay"
"bio12_annual_precip",0.0459706418438764,"XGBoost","Steller's Jay"
"bio3_isothermality",0.0376534857288489,"XGBoost","Steller's Jay"
"bio13_precip_wettest_month",0.0346450913758585,"XGBoost","Steller's Jay"
"bio2_mean_diurnal_range",0.0337687441577508,"XGBoost","Steller's Jay"
"bio1_annual_mean_temp",0.0306079186163143,"XGBoost","Steller's Jay"
"bio9_mean_temp_driest_quarter",0.0301973514388308,"XGBoost","Steller's Jay"
"bio18_precip_warmest_quarter",0.0264817922600212,"XGBoost","Steller's Jay"
"bio4_temp_seasonality",0.0255702971491552,"XGBoost","Steller's Jay"
"bio19_precip_coldest_quarter",0.025001947848137,"XGBoost","Steller's Jay"
"bio7_temp_annual_range",0.0235394577083022,"XGBoost","Steller's Jay"
"bio6_min_temp_coldest_month",0.0232891429543633,"XGBoost","Steller's Jay"
"bio8_mean_temp_wettest_quarter",0.0212878497108601,"XGBoost","Steller's Jay"
"bio16_precip_wettest_quarter",0.0210979972075828,"XGBoost","Steller's Jay"
"bio17_precip_driest_quarter",0.0177427060019445,"XGBoost","Steller's Jay"
"bio14_precip_driest_month",0.0153330537224516,"XGBoost","Steller's Jay"
"bio11_mean_temp_coldest_quarter",0.0109761159623815,"XGBoost","Steller's Jay"
"bio1_annual_mean_temp",25.1058160797539,"Random Forest","Red-tailed Hawk"
"bio10_mean_temp_warmest_quarter",28.5049189029876,"Random Forest","Red-tailed Hawk"
"bio11_mean_temp_coldest_quarter",24.727027319723,"Random Forest","Red-tailed Hawk"
"bio12_annual_precip",29.8090640150475,"Random Forest","Red-tailed Hawk"
"bio13_precip_wettest_month",20.2357142417593,"Random Forest","Red-tailed Hawk"
"bio14_precip_driest_month",23.7367088692664,"Random Forest","Red-tailed Hawk"
"bio15_precip_seasonality",33.117808063958,"Random Forest","Red-tailed Hawk"
"bio16_precip_wettest_quarter",21.8204438992969,"Random Forest","Red-tailed Hawk"
"bio17_precip_driest_quarter",26.366258465797,"Random Forest","Red-tailed Hawk"
"bio18_precip_warmest_quarter",28.0666158315677,"Random Forest","Red-tailed Hawk"
"bio19_precip_coldest_quarter",22.4912749232114,"Random Forest","Red-tailed Hawk"
"bio2_mean_diurnal_range",33.4866496618823,"Random Forest","Red-tailed Hawk"
"bio3_isothermality",34.1172330362525,"Random Forest","Red-tailed Hawk"
"bio4_temp_seasonality",27.7554205212974,"Random Forest","Red-tailed Hawk"
"bio5_max_temp_warmest_month",30.3416888331412,"Random Forest","Red-tailed Hawk"
"bio6_min_temp_coldest_month",30.9538484183194,"Random Forest","Red-tailed Hawk"
"bio7_temp_annual_range",29.6954118879073,"Random Forest","Red-tailed Hawk"
"bio8_mean_temp_wettest_quarter",29.4096094955696,"Random Forest","Red-tailed Hawk"
"bio9_mean_temp_driest_quarter",27.4566357427579,"Random Forest","Red-tailed Hawk"
"land_cover",47.8088521559264,"Random Forest","Red-tailed Hawk"
"land_cover",0.175788995157632,"XGBoost","Red-tailed Hawk"
"bio12_annual_precip",0.0977792307048941,"XGBoost","Red-tailed Hawk"
"bio2_mean_diurnal_range",0.0822794495138864,"XGBoost","Red-tailed Hawk"
"bio6_min_temp_coldest_month",0.0641907679762332,"XGBoost","Red-tailed Hawk"
"bio17_precip_driest_quarter",0.0602769033229373,"XGBoost","Red-tailed Hawk"
"bio7_temp_annual_range",0.0600936946523322,"XGBoost","Red-tailed Hawk"
"bio3_isothermality",0.0483660261497412,"XGBoost","Red-tailed Hawk"
"bio11_mean_temp_coldest_quarter",0.0476072785288504,"XGBoost","Red-tailed Hawk"
"bio4_temp_seasonality",0.0470172946637503,"XGBoost","Red-tailed Hawk"
"bio15_precip_seasonality",0.0414583599981949,"XGBoost","Red-tailed Hawk"
"bio5_max_temp_warmest_month",0.0404408386212069,"XGBoost","Red-tailed Hawk"
"bio18_precip_warmest_quarter",0.0385715507652471,"XGBoost","Red-tailed Hawk"
"bio13_precip_wettest_month",0.0302092377377995,"XGBoost","Red-tailed Hawk"
"bio8_mean_temp_wettest_quarter",0.0286304604943442,"XGBoost","Red-tailed Hawk"
"bio1_annual_mean_temp",0.0284958530682445,"XGBoost","Red-tailed Hawk"
"bio10_mean_temp_warmest_quarter",0.0265049921740478,"XGBoost","Red-tailed Hawk"
"bio9_mean_temp_driest_quarter",0.0257523541727286,"XGBoost","Red-tailed Hawk"
"bio19_precip_coldest_quarter",0.0230981580161298,"XGBoost","Red-tailed Hawk"
"bio14_precip_driest_month",0.017183309040786,"XGBoost","Red-tailed Hawk"
"bio16_precip_wettest_quarter",0.0162552452410137,"XGBoost","Red-tailed Hawk"
"bio1_annual_mean_temp",23.2308606833254,"Random Forest","Spotted Towhee"
"bio10_mean_temp_warmest_quarter",19.1476315200293,"Random Forest","Spotted Towhee"
"bio11_mean_temp_coldest_quarter",22.8784479028281,"Random Forest","Spotted Towhee"
"bio12_annual_precip",17.3760572740921,"Random Forest","Spotted Towhee"
"bio13_precip_wettest_month",15.9156231760678,"Random Forest","Spotted Towhee"
"bio14_precip_driest_month",14.3149316252983,"Random Forest","Spotted Towhee"
"bio15_precip_seasonality",23.587852627465,"Random Forest","Spotted Towhee"
"bio16_precip_wettest_quarter",15.0172943602187,"Random Forest","Spotted Towhee"
"bio17_precip_driest_quarter",18.7614984447556,"Random Forest","Spotted Towhee"
"bio18_precip_warmest_quarter",17.8134928955005,"Random Forest","Spotted Towhee"
"bio19_precip_coldest_quarter",16.1738269368426,"Random Forest","Spotted Towhee"
"bio2_mean_diurnal_range",24.162745605915,"Random Forest","Spotted Towhee"
"bio3_isothermality",22.5788989325423,"Random Forest","Spotted Towhee"
"bio4_temp_seasonality",21.4130157113493,"Random Forest","Spotted Towhee"
"bio5_max_temp_warmest_month",19.7816201980928,"Random Forest","Spotted Towhee"
"bio6_min_temp_coldest_month",22.5714225640661,"Random Forest","Spotted Towhee"
"bio7_temp_annual_range",21.5355589080429,"Random Forest","Spotted Towhee"
"bio8_mean_temp_wettest_quarter",20.3791179607314,"Random Forest","Spotted Towhee"
"bio9_mean_temp_driest_quarter",26.3517389242838,"Random Forest","Spotted Towhee"
"land_cover",36.4637868428071,"Random Forest","Spotted Towhee"
"land_cover",0.165033687997436,"XGBoost","Spotted Towhee"
"bio9_mean_temp_driest_quarter",0.0876955152083158,"XGBoost","Spotted Towhee"
"bio12_annual_precip",0.0853538254394317,"XGBoost","Spotted Towhee"
"bio17_precip_driest_quarter",0.0683577758621701,"XGBoost","Spotted Towhee"
"bio5_max_temp_warmest_month",0.0531674735106767,"XGBoost","Spotted Towhee"
"bio15_precip_seasonality",0.0494606751405846,"XGBoost","Spotted Towhee"
"bio6_min_temp_coldest_month",0.0426055179402935,"XGBoost","Spotted Towhee"
"bio4_temp_seasonality",0.0412657620015158,"XGBoost","Spotted Towhee"
"bio16_precip_wettest_quarter",0.0405870863852495,"XGBoost","Spotted Towhee"
"bio7_temp_annual_range",0.0393302326170481,"XGBoost","Spotted Towhee"
"bio11_mean_temp_coldest_quarter",0.0387838810157219,"XGBoost","Spotted Towhee"
"bio10_mean_temp_warmest_quarter",0.0383059524186824,"XGBoost","Spotted Towhee"
"bio2_mean_diurnal_range",0.0381630185075079,"XGBoost","Spotted Towhee"
"bio19_precip_coldest_quarter",0.0355001604954704,"XGBoost","Spotted Towhee"
"bio3_isothermality",0.0354287092303538,"XGBoost","Spotted Towhee"
"bio1_annual_mean_temp",0.0345993517485201,"XGBoost","Spotted Towhee"
"bio8_mean_temp_wettest_quarter",0.0324234694588826,"XGBoost","Spotted Towhee"
"bio18_precip_warmest_quarter",0.0320118393764075,"XGBoost","Spotted Towhee"
"bio13_precip_wettest_month",0.0257774725081655,"XGBoost","Spotted Towhee"
"bio14_precip_driest_month",0.0161485931375659,"XGBoost","Spotted Towhee"
"bio1_annual_mean_temp",25.6662393418698,"Random Forest","Western Meadowlark"
"bio10_mean_temp_warmest_quarter",25.9539878560584,"Random Forest","Western Meadowlark"
"bio11_mean_temp_coldest_quarter",23.9022556737047,"Random Forest","Western Meadowlark"
"bio12_annual_precip",45.9007970891803,"Random Forest","Western Meadowlark"
"bio13_precip_wettest_month",22.416404356964,"Random Forest","Western Meadowlark"
"bio14_precip_driest_month",21.9996843623391,"Random Forest","Western Meadowlark"
"bio15_precip_seasonality",33.1238260878566,"Random Forest","Western Meadowlark"
"bio16_precip_wettest_quarter",17.4870382236041,"Random Forest","Western Meadowlark"
"bio17_precip_driest_quarter",22.6328122876105,"Random Forest","Western Meadowlark"
"bio18_precip_warmest_quarter",32.7595751424878,"Random Forest","Western Meadowlark"
"bio19_precip_coldest_quarter",20.1659459028601,"Random Forest","Western Meadowlark"
"bio2_mean_diurnal_range",34.0984121001483,"Random Forest","Western Meadowlark"
"bio3_isothermality",30.8066342462827,"Random Forest","Western Meadowlark"
"bio4_temp_seasonality",33.2031276316289,"Random Forest","Western Meadowlark"
"bio5_max_temp_warmest_month",30.0385742161113,"Random Forest","Western Meadowlark"
"bio6_min_temp_coldest_month",34.5633125254531,"Random Forest","Western Meadowlark"
"bio7_temp_annual_range",20.7994796039576,"Random Forest","Western Meadowlark"
"bio8_mean_temp_wettest_quarter",28.7577842112014,"Random Forest","Western Meadowlark"
"bio9_mean_temp_driest_quarter",26.7443271833853,"Random Forest","Western Meadowlark"
"land_cover",97.0477453227078,"Random Forest","Western Meadowlark"
"bio12_annual_precip",0.22732638125984,"XGBoost","Western Meadowlark"
"land_cover",0.199061094466033,"XGBoost","Western Meadowlark"
"bio2_mean_diurnal_range",0.0737921562547412,"XGBoost","Western Meadowlark"
"bio4_temp_seasonality",0.0551408933353499,"XGBoost","Western Meadowlark"
"bio13_precip_wettest_month",0.0522647530538686,"XGBoost","Western Meadowlark"
"bio5_max_temp_warmest_month",0.0408206621936664,"XGBoost","Western Meadowlark"
"bio18_precip_warmest_quarter",0.0403396542419385,"XGBoost","Western Meadowlark"
"bio3_isothermality",0.0363400654686168,"XGBoost","Western Meadowlark"
"bio10_mean_temp_warmest_quarter",0.0352189570750102,"XGBoost","Western Meadowlark"
"bio15_precip_seasonality",0.0325164057363747,"XGBoost","Western Meadowlark"
"bio7_temp_annual_range",0.0322681425873898,"XGBoost","Western Meadowlark"
"bio6_min_temp_coldest_month",0.0291503586718138,"XGBoost","Western Meadowlark"
"bio14_precip_driest_month",0.0246949540919547,"XGBoost","Western Meadowlark"
"bio9_mean_temp_driest_quarter",0.0227229635672632,"XGBoost","Western Meadowlark"
"bio8_mean_temp_wettest_quarter",0.0225234606956806,"XGBoost","Western Meadowlark"
"bio11_mean_temp_coldest_quarter",0.0218526141741668,"XGBoost","Western Meadowlark"
"bio1_annual_mean_temp",0.0216486039542817,"XGBoost","Western Meadowlark"
"bio17_precip_driest_quarter",0.0134630030136837,"XGBoost","Western Meadowlark"
"bio16_precip_wettest_quarter",0.0100023016347685,"XGBoost","Western Meadowlark"
"bio19_precip_coldest_quarter",0.00885257452355757,"XGBoost","Western Meadowlark"
